"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
984,"2019-02-01 06:52:45.8270","2019-02-01 07:09:10.6420",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,3503,"Subscriber",1992,1
664,"2019-02-01 06:53:52.8740","2019-02-01 07:04:57.7050",189,"Kendall T",42.362427842912396,-71.08495473861694,184,"Sidney Research Campus/ Erie Street at Waverly",42.35775309465199,-71.10393404960632,4497,"Subscriber",1958,1
384,"2019-02-01 06:56:25.0090","2019-02-01 07:02:49.4450",150,"State Street at Channel Center",42.344137,-71.052608,192,"Purchase St at Pearl St",42.354659,-71.053181,2304,"Subscriber",1986,1
783,"2019-02-01 06:57:50.9660","2019-02-01 07:10:54.4660",327,"Main St at Thompson Sq",42.374878467440965,-71.06383498767171,151,"Surface Rd at India St",42.358155,-71.052163,4096,"Subscriber",1978,1
728,"2019-02-01 06:59:37.8800","2019-02-01 07:11:46.4340",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,157,"Seaport Blvd at Sleeper St",42.35317809186252,-71.04817356923377,4356,"Subscriber",1966,1
724,"2019-02-01 07:00:35.1810","2019-02-01 07:12:39.8860",51,"Washington St at Lenox St",42.3350989929096,-71.07903778553009,11,"Longwood Ave at Binney St",42.338629,-71.1065,3769,"Subscriber",1992,1
178,"2019-02-01 07:01:14.4990","2019-02-01 07:04:13.4230",219,"Boston East - 126 Border St",42.373312125824704,-71.0410200806291,213,"East Boston Neighborhood Health Center - 20 Maverick Square",42.369536,-71.039431,4171,"Subscriber",1991,1
958,"2019-02-01 07:02:54.1380","2019-02-01 07:18:52.9580",119,"South Boston Library - 646 E Broadway",42.335741,-71.03877,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,3380,"Subscriber",1992,1
447,"2019-02-01 07:03:53.5270","2019-02-01 07:11:21.3330",26,"Washington St at Waltham St",42.341522,-71.068922,21,"Prudential Center - Belvedere St",42.34652003998412,-71.08065776545118,4150,"Subscriber",1985,2
1932,"2019-02-01 07:04:11.4660","2019-02-01 07:36:23.7900",15,"Brighton Mills - 370 Western Ave",42.3615457081725,-71.13776206970215,370,"Dartmouth St at Newbury St",42.35096144421219,-71.07782810926437,4447,"Subscriber",1964,2
1657,"2019-02-01 07:04:30.8910","2019-02-01 07:32:08.1080",121,"W Broadway at Dorchester St",42.335693,-71.045859,10,"B.U. Central - 725 Comm. Ave.",42.350406,-71.108279,4215,"Subscriber",1963,1
254,"2019-02-01 07:05:07.5950","2019-02-01 07:09:22.3330",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,318,"Ames St at Broadway",42.3636929,-71.0875672,2880,"Subscriber",1991,1
415,"2019-02-01 07:05:29.2320","2019-02-01 07:12:25.0570",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,369,"Boston Public Market",42.36254854409333,-71.0573735833168,4527,"Subscriber",1970,1
250,"2019-02-01 07:06:40.9520","2019-02-01 07:10:51.0300",169,"Edwards Playground - Main St at Eden St",42.378965,-71.068607,171,"Bunker Hill Community College",42.37408991426522,-71.06905996799469,3132,"Subscriber",1985,1
1154,"2019-02-01 07:06:52.7920","2019-02-01 07:26:07.0560",201,"NCAAA - Walnut Ave at Crawford St",42.316902,-71.091946,11,"Longwood Ave at Binney St",42.338629,-71.1065,4144,"Subscriber",1989,1
307,"2019-02-01 07:07:43.1780","2019-02-01 07:12:50.5910",176,"Lesley University",42.38674802045056,-71.11901879310608,89,"Harvard Law School at Mass Ave / Jarvis St",42.379011,-71.119945,4169,"Subscriber",1992,2
784,"2019-02-01 07:08:04.4600","2019-02-01 07:21:09.3500",87,"Harvard University Housing - 115 Putnam Ave at Peabody Terrace",42.366621,-71.114214,33,"Kenmore Square",42.348706,-71.097009,3858,"Subscriber",1990,1
1362,"2019-02-01 07:08:29.7570","2019-02-01 07:31:12.5760",41,"Packard's Corner - Commonwealth Ave at Brighton Ave",42.352261,-71.123831,143,"EF - North Point Park",42.369885,-71.069957,2969,"Subscriber",1985,1
1286,"2019-02-01 07:09:13.1730","2019-02-01 07:30:39.5720",377,"Perry Park",42.37927324600841,-71.10341902831351,46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,2626,"Subscriber",1987,1
1106,"2019-02-01 07:09:51.0620","2019-02-01 07:28:18.0400",12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.33624444796878,-71.08798563480377,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3231,"Subscriber",1996,1
572,"2019-02-01 07:10:23.1010","2019-02-01 07:19:55.3890",23,"Boston City Hall - 28 State St",42.35892,-71.057629,31,"Seaport Hotel - Congress St at Seaport Ln",42.34881026188269,-71.04167744055303,3561,"Subscriber",1969,1
856,"2019-02-01 07:11:05.7730","2019-02-01 07:25:21.9560",46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,117,"Binney St / Sixth St",42.36616223459919,-71.08688293667001,4515,"Customer",1995,1
751,"2019-02-01 07:12:46.0460","2019-02-01 07:25:17.8710",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,72,"One Broadway / Kendall Sq at Main St / 3rd St",42.36224178650923,-71.0831107199192,4506,"Subscriber",1961,1
173,"2019-02-01 07:13:49.2390","2019-02-01 07:16:42.3520",59,"Chinatown Gate Plaza",42.351356,-71.059367,22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,3822,"Subscriber",1989,1
584,"2019-02-01 07:14:25.5950","2019-02-01 07:24:10.5660",58,"Mugar Way at Beacon St",42.355536284897084,-71.07286870479584,192,"Purchase St at Pearl St",42.354659,-71.053181,3853,"Subscriber",1958,1
890,"2019-02-01 07:14:31.1520","2019-02-01 07:29:21.6360",352,"Ring Rd",42.348278385426255,-71.08044855314802,141,"Kendall Street",42.363560158429884,-71.08216792345047,2966,"Subscriber",1983,2
1216,"2019-02-01 07:14:40.3060","2019-02-01 07:34:57.1840",115,"Porter Square Station",42.387995,-71.119084,117,"Binney St / Sixth St",42.36616223459919,-71.08688293667001,3627,"Subscriber",1969,1
82,"2019-02-01 07:14:59.5800","2019-02-01 07:16:22.1730",189,"Kendall T",42.362427842912396,-71.08495473861694,141,"Kendall Street",42.363560158429884,-71.08216792345047,3131,"Subscriber",1991,1
2106,"2019-02-01 07:15:22.2850","2019-02-01 07:50:29.0270",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.33624444796878,-71.08798563480377,4498,"Subscriber",1968,2
24738,"2019-02-01 07:16:25.5820","2019-02-01 14:08:44.3160",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,54,"Tremont St at West St",42.354979,-71.063348,3669,"Subscriber",1985,1
212,"2019-02-01 07:16:34.4130","2019-02-01 07:20:07.2450",22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,192,"Purchase St at Pearl St",42.354659,-71.053181,3917,"Subscriber",1978,2
289,"2019-02-01 07:16:46.9180","2019-02-01 07:21:36.7940",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,189,"Kendall T",42.362427842912396,-71.08495473861694,4030,"Subscriber",1995,2
170,"2019-02-01 07:18:46.3910","2019-02-01 07:21:36.4640",116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,2712,"Subscriber",1989,1
1267,"2019-02-01 07:20:04.8900","2019-02-01 07:41:12.7040",9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,4376,"Subscriber",1977,1
376,"2019-02-01 07:20:37.3400","2019-02-01 07:26:53.4850",57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,26,"Washington St at Waltham St",42.341522,-71.068922,2634,"Subscriber",1973,1
503,"2019-02-01 07:21:15.7940","2019-02-01 07:29:38.8990",171,"Bunker Hill Community College",42.37408991426522,-71.06905996799469,141,"Kendall Street",42.363560158429884,-71.08216792345047,3132,"Subscriber",1970,1
419,"2019-02-01 07:22:14.2050","2019-02-01 07:29:13.8750",190,"Nashua Street at Red Auerbach Way",42.365673,-71.064263,151,"Surface Rd at India St",42.358155,-71.052163,3845,"Subscriber",1955,1
263,"2019-02-01 07:22:36.9050","2019-02-01 07:27:00.7670",118,"Linear Park - Mass. Ave. at Cameron Ave. ",42.397828,-71.130516,100,"Davis Square",42.396969,-71.123024,4526,"Subscriber",1986,1
691,"2019-02-01 07:24:17.5500","2019-02-01 07:35:48.9540",121,"W Broadway at Dorchester St",42.335693,-71.045859,218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.351586001198456,-71.04569256305693,3372,"Subscriber",1995,2
337,"2019-02-01 07:24:18.3780","2019-02-01 07:29:56.0620",58,"Mugar Way at Beacon St",42.355536284897084,-71.07286870479584,372,"Boylston St at Exeter St",42.349589423682445,-71.0794677917329,2297,"Subscriber",1990,1
909,"2019-02-01 07:24:47.1040","2019-02-01 07:39:56.2080",91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,36,"Copley Square - Dartmouth St at Boylston St",42.34993463611888,-71.07738554477692,4367,"Subscriber",1996,1
367,"2019-02-01 07:25:23.8010","2019-02-01 07:31:31.2740",332,"Harvard Ave at Brainerd Rd",42.34953016890375,-71.13022770741735,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,3683,"Subscriber",1953,1
294,"2019-02-01 07:25:36.9390","2019-02-01 07:30:31.2490",39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,363,"Harrison Ave at Mullins Way",42.34521562115022,-71.0638403149278,3479,"Subscriber",1990,2
